player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action,landing_dx,time_to_land,ball_speed_abs
1P,79,150,290,10,7,90,110,1,1,50,55.0,10,7,90,10.0,7.0,85.0,MOVE_RIGHT,-35.0,0.3,12.206555615733702
2P,79,150,290,10,7,110,90,1,0,50,55.0,10,7,110,10.0,7.0,110.0,MOVE_RIGHT,-55.0,0.3,12.206555615733702
1P,80,160,297,10,7,95,115,1,1,55,55.0,10,7,95,10.0,7.0,90.0,MOVE_RIGHT,-40.0,0.2833333333333333,12.206555615733702
2P,80,160,297,10,7,115,95,1,0,55,55.0,10,7,115,10.0,7.0,110.0,MOVE_RIGHT,-60.0,0.2833333333333333,12.206555615733702
1P,81,170,304,10,7,100,120,1,1,60,55.0,10,7,100,10.0,7.0,95.0,NONE,-45.0,0.26666666666666666,12.206555615733702
2P,81,170,304,10,7,120,100,1,0,60,55.0,10,7,120,10.0,7.0,115.0,MOVE_RIGHT,-65.0,0.26666666666666666,12.206555615733702
1P,82,180,311,10,7,100,125,1,1,65,55.0,10,7,100,10.0,7.0,100.0,MOVE_RIGHT,-45.0,0.25,12.206555615733702
2P,82,180,311,10,7,125,100,1,0,65,55.0,10,7,125,10.0,7.0,120.0,MOVE_RIGHT,-70.0,0.25,12.206555615733702
1P,83,190,318,-10,7,105,130,1,1,70,55.0,-10,7,105,10.0,7.0,100.0,MOVE_RIGHT,-50.0,0.23333333333333334,12.206555615733702
2P,83,190,318,-10,7,130,105,1,0,70,55.0,-10,7,130,10.0,7.0,125.0,MOVE_LEFT,-75.0,0.23333333333333334,12.206555615733702
1P,84,180,325,-10,7,110,125,1,1,75,55.0,-10,7,110,-10.0,7.0,105.0,NONE,-55.0,0.21666666666666667,12.206555615733702
